CG_ID	HU_ID	HaT13l_ID	AGI_ID from HU	AGI_ID from HaT13l	name from Hu	name from HaT13l	description from Hu	description from HAt13l				
CG1902	HuCL00285C001	HaT13l001803	AT1G48600	AT1G48600	PMEAMT	PMEAMT	Encodes a phosphoethanolamine N-methyltransferase that catalyses the last two methylation steps of the three sequential methylations of phosphoethanolamine (PEA) that are required for the synthesis of phosphocholine (PCho) in plants.	Encodes a phosphoethanolamine N-methyltransferase that catalyses the last two methylation steps of the three sequential methylations of phosphoethanolamine (PEA) that are required for the synthesis of phosphocholine (PCho) in plants.				
CG1903	HuCL00388C001	HaT13l009575	AT1G26770	AT1G26770	EXPA10	EXPA10	"Encodes an expansin. Naming convention from the Expansin Working Group (Kende et al, Plant Mol Bio). Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana."	"Encodes an expansin. Naming convention from the Expansin Working Group (Kende et al, Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana.  protein_coding  EXPANSIN A10 (EXPA10)   EXPANSIN A10 (ATEXPA10);ARABIDOPSIS THALIANA EXPANSIN 10 (AT-EXP10);ARABIDOPSIS THALIANA EXPANSIN 10 (ATEXP10);ARABIDOPSIS THALIANA EXPANSIN ALPHA 1.1 (ATHEXP ALPHA 1.1);EXPANSIN 10 (EXP10);EXPANSIN A10 (EXPA10)"				
CG1904	HuCL00421C002	HaT13l005065	AT2G36630	AT2G36630	HuCL00421C002	HaT13l005065	"Sulfite exporter TauE/SafE family protein; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: endomembrane system, integral to membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF81 (InterPro:IPR002781); BEST Arabidopsis thaliana protein match is: Sulfite exporter TauE/SafE family protein (TAIR:AT2G25737.1); Has 1587 Blast hits to 1517 proteins in 484 species: Archae - 83; Bacteria - 808; Metazoa - 0; Fungi - 0; Plants - 200; Viruses - 0; Other Eukaryotes - 496 (source: NCBI BLink)."	"Sulfite exporter TauE/SafE family protein; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: endomembrane system, integral to membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF81 (InterPro:IPR002781); BEST Arabidopsis thaliana protein match is: Sulfite exporter TauE/SafE family protein (TAIR:AT2G25737.1); Has 1587 Blast hits to 1517 proteins in 484 species: Archae - 83; Bacteria - 808; Metazoa - 0; Fungi - 0; Plants - 200; Viruses - 0; Other Eukaryotes - 496 (source: NCBI BLink)."				
CG1905	HuCL00499C001	HaT13l000082	AT1G53310	AT1G53310	PPC1	PPC1	Encodes one of four Arabidopsis phosphoenolpyruvate carboxylase proteins.       protein_coding  PHOSPHOENOLPYRUVATE CARBOXYLASE 1 (PPC1)        PHOSPHOENOLPYRUVATE CARBOXYLASE 1 (ATPPC1);PEP(PHOSPHOENOLPYRUVATE) CARBOXYLASE 1 (PEPC1); (ATPEPC1);PHOSPHOENOLPYRUVATE CARBOXYLASE 1 (PPC1)	Encodes one of four Arabidopsis phosphoenolpyruvate carboxylase proteins.       protein_coding  PHOSPHOENOLPYRUVATE CARBOXYLASE 1 (PPC1)        PHOSPHOENOLPYRUVATE CARBOXYLASE 1 (ATPPC1);PEP(PHOSPHOENOLPYRUVATE) CARBOXYLASE 1 (PEPC1); (ATPEPC1);PHOSPHOENOLPYRUVATE CARBOXYLASE 1 (PPC1)				
CG1906	HuCL00510C005	HaT13l000877	AT3G13050	AT3G13050	NiaP	NiaP	Encodes a plant nicotinate transporter than can also transport trigonelline (N-methylnicotinate).	Encodes a plant nicotinate transporter than can also transport trigonelline (N-methylnicotinate).				
CG1907	HuCL00654C001	HaT13l001512	AT1G79750	AT1G79750	NADP-ME4	NADP-ME4	The malic enzyme (EC 1.1.1.40) encoded by AtNADP-ME4 is localized to chloroplasts. The gene is expressed throughout the whole plant and during embryogenesis and germination. A possible involvement in the fatty acid biosynthesis has been proposed.	The malic enzyme (EC 1.1.1.40) encoded by AtNADP-ME4 is localized to chloroplasts. The gene is expressed throughout the whole plant and during embryogenesis and germination. A possible involvement in the fatty acid biosynthesis has been proposed.				
CG1909	HuCL00920C001	HaT13l004858	AT3G20660	AT3G20660	AtOCT4	AtOCT4	"organic cation/carnitine transporter4 (4-Oct); FUNCTIONS IN: carbohydrate transmembrane transporter activity, sugar:hydrogen symporter activity; INVOLVED IN: transport, transmembrane transport; LOCATED IN: chloroplast thylakoid membrane, membrane; EXPRESSED IN: 13 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Sugar transporter, conserved site (InterPro:IPR005829), Major facilitator superfamily (InterPro:IPR020846), General substrate transporter (InterPro:IPR005828), Major facilitator superfamily, general substrate transporter (InterPro:IPR016196); BEST Arabidopsis thaliana protein match is: pseudogene (TAIR:AT1G73220.1); Has 27723 Blast hits to 27519 proteins in 2032 species: Archae - 544; Bacteria - 15020; Metazoa - 4940; Fungi - 4480; Plants - 1745; Viruses - 0; Other Eukaryotes - 994 (source: NCBI BLink)."	"organic cation/carnitine transporter4 (4-Oct); FUNCTIONS IN: carbohydrate transmembrane transporter activity, sugar:hydrogen symporter activity; INVOLVED IN: transport, transmembrane transport; LOCATED IN: chloroplast thylakoid membrane, membrane; EXPRESSED IN: 13 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Sugar transporter, conserved site (InterPro:IPR005829), Major facilitator superfamily (InterPro:IPR020846), General substrate transporter (InterPro:IPR005828), Major facilitator superfamily, general substrate transporter (InterPro:IPR016196); BEST Arabidopsis thaliana protein match is: pseudogene (TAIR:AT1G73220.1); Has 27723 Blast hits to 27519 proteins in 2032 species: Archae - 544; Bacteria - 15020; Metazoa - 4940; Fungi - 4480; Plants - 1745; Viruses - 0; Other Eukaryotes - 994 (source: NCBI BLink).  protein_coding  ORGANIC CATION/CARNITINE TRANSPORTER4 (OCT4)    ORGANIC CATION/CARNITINE TRANSPORTER4 (AtOCT4);ORGANIC CATION/CARNITINE TRANSPORTER4 (OCT4)"				
CG1910	HuCL00999C001	HaT13l001485	AT3G48990	AT3G48990	HuCL00999C001	HaT13l001485	"AMP-dependent synthetase and ligase family protein; FUNCTIONS IN: catalytic activity, AMP binding; INVOLVED IN: response to cadmium ion; LOCATED IN: apoplast, chloroplast; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: AMP-binding, conserved site (InterPro:IPR020845), AMP-dependent synthetase/ligase (InterPro:IPR000873); BEST Arabidopsis thaliana protein match is: AMP-dependent synthetase and ligase family protein (TAIR:AT4G05160.1); Has 84840 Blast hits to 77127 proteins in 3761 species: Archae - 1146; Bacteria - 54375; Metazoa - 3415; Fungi - 4706; Plants - 2571; Viruses - 1; Other Eukaryotes - 18626 (source: NCBI BLink)."	"AMP-dependent synthetase and ligase family protein; FUNCTIONS IN: catalytic activity, AMP binding; INVOLVED IN: response to cadmium ion; LOCATED IN: apoplast, chloroplast; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: AMP-binding, conserved site (InterPro:IPR020845), AMP-dependent synthetase/ligase (InterPro:IPR000873); BEST Arabidopsis thaliana protein match is: AMP-dependent synthetase and ligase family protein (TAIR:AT4G05160.1); Has 84840 Blast hits to 77127 proteins in 3761 species: Archae - 1146; Bacteria - 54375; Metazoa - 3415; Fungi - 4706; Plants - 2571; Viruses - 1; Other Eukaryotes - 18626 (source: NCBI BLink)."				
CG1911	HuCL01066C004	HaT13l200593	AT4G02380	AT4G02380	SAG21	SAG21	Encodes AtLEA5 (late embryogenesis abundant like protein). Also known as SENESCENCE-ASSOCIATED GENE 21 (SAG21). Has a role on oxidative stress tolerance. mRNA levels are elevated in response to various stresses.	Encodes AtLEA5 (late embryogenesis abundant like protein).  Also known as SENESCENCE-ASSOCIATED GENE 21 (SAG21).  Has a role on oxidative stress tolerance. mRNA levels are elevated in response to various stresses.   protein_coding  SENESCENCE-ASSOCIATED GENE 21 (SAG21)   SENESCENCE-ASSOCIATED GENE 21 (SAG21);ARABIDOPSIS THALIANA LATE EMBRYOGENENSIS ABUNDANT LIKE 5 (AtLEA5)				
CG1914	HuCL01232C001	HaT13l004121	AT4G33150	AT4G33150	HuCL01232C001	HaT13l004121	"lysine-ketoglutarate reductase/saccharopine dehydrogenase bifunctional enzyme; CONTAINS InterPro DOMAIN/s: Alanine dehydrogenase/PNT, C-terminal (InterPro:IPR007698), Saccharopine dehydrogenase / Homospermidine synthase (InterPro:IPR005097), Alanine dehydrogenase/PNT, N-terminal (InterPro:IPR007886), LOR/SDH bifunctional enzyme, conserved domain (InterPro:IPR007545); Has 1973 Blast hits to 1848 proteins in 422 species: Archae - 66; Bacteria - 527; Metazoa - 218; Fungi - 314; Plants - 71; Viruses - 0; Other Eukaryotes - 777 (source: NCBI BLink)."	"lysine-ketoglutarate reductase/saccharopine dehydrogenase bifunctional enzyme; CONTAINS InterPro DOMAIN/s: Alanine dehydrogenase/PNT, C-terminal (InterPro:IPR007698), Saccharopine dehydrogenase / Homospermidine synthase (InterPro:IPR005097), Alanine dehydrogenase/PNT, N-terminal (InterPro:IPR007886), LOR/SDH bifunctional enzyme, conserved domain (InterPro:IPR007545); Has 1973 Blast hits to 1848 proteins in 422 species: Archae - 66; Bacteria - 527; Metazoa - 218; Fungi - 314; Plants - 71; Viruses - 0; Other Eukaryotes - 777 (source: NCBI BLink)."				
CG1915	HuCL01559C002	HaT13l099873	AT1G76490	AT1G76490	HMG1	HMG1	"Encodes a 3-hydroxy-3-methylglutaryl coenzyme A reductase, which is involved in melavonate biosynthesis and performs the first committed step in isoprenoid biosynthesis. Expression is activated in dark in leaf tissue but not controlled by light in the root (confine       protein_coding  HYDROXY METHYLGLUTARYL COA REDUCTASE 1 (HMG1)   HYDROXY METHYLGLUTARYL COA REDUCTASE 1 (HMG1);3-HYDROXY-3-METHYLGLUTARYL COA REDUCTASE 1 (HMGR1); (AtHMGR1)"	"Encodes a 3-hydroxy-3-methylglutaryl coenzyme A reductase, which is involved in melavonate biosynthesis and performs the first committed step in isoprenoid biosynthesis. Expression is activated in dark in leaf tissue but not controlled by light in the root (confine       protein_coding  HYDROXY METHYLGLUTARYL COA REDUCTASE 1 (HMG1)   HYDROXY METHYLGLUTARYL COA REDUCTASE 1 (HMG1);3-HYDROXY-3-METHYLGLUTARYL COA REDUCTASE 1 (HMGR1); (AtHMGR1)"				
CG1916	HuCL01925C001	HaT13l017419	AT3G06500	AT3G06500	A/N-InvC	A/N-InvC	"Plant neutral invertase family protein; FUNCTIONS IN: catalytic activity, beta-fructofuranosidase activity; INVOLVED IN: biological_process unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Plant neutral invertase (InterPro:IPR006937), Six-hairpin glycosidase-like (InterPro:IPR008928); BEST Arabidopsis thaliana protein match is: Plant neutral invertase family protein (TAIR:AT1G56560.1); Has 684 Blast hits to 681 proteins in 97 species: Archae - 0; Bacteria - 133; Metazoa - 0; Fungi - 0; Plants - 315; Viruses - 0; Other Eukaryotes - 236 (source: NCBI BLink)."	"Plant neutral invertase family protein; FUNCTIONS IN: catalytic activity, beta-fructofuranosidase activity; INVOLVED IN: biological_process unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Plant neutral invertase (InterPro:IPR006937), Six-hairpin glycosidase-like (InterPro:IPR008928); BEST Arabidopsis thaliana protein match is: Plant neutral invertase family protein (TAIR:AT1G56560.1); Has 684 Blast hits to 681 proteins in 97 species: Archae - 0; Bacteria - 133; Metazoa - 0; Fungi - 0; Plants - 315; Viruses - 0; Other Eukaryotes - 236 (source: NCBI BLink)."				
CG1917	HuCL02028C001	HaT13l004081	AT3G14310	AT3G14310	PME3	PME3	"encodes a pectin methylesterase, targeted by a cellulose binding protein (CBP) from the parasitic nematode Heterodera schachtii during parasitism."	"encodes a pectin methylesterase, targeted by a cellulose binding protein (CBP) from the parasitic nematode Heterodera schachtii during parasitism.      protein_coding  PECTIN METHYLESTERASE 3 (PME3)  PECTIN METHYLESTERASE 3 (ATPME3);PECTIN METHYLESTERASE 3 (PME3)"				
CG1918	HuCL02382C001	HaT13l011804	AT3G55610	AT3G55610	P5CS2	P5CS2	 delta 1-pyrroline-5-carboxylate synthase 2	"encodes delta 1-pyrroline-5-carboxylate synthetase B. Gene expression is induced by dehydration, high salt and ABA. Knock-out mutations in P5CS2 are embryo-lethal. P5CS2 appears to be present in different cells and/or different subcellular locations from P5CS1 in a tissue-dependent manner.      protein_coding  DELTA 1-PYRROLINE-5-CARBOXYLATE SYNTHASE 2 (P5CS2)      DELTA 1-PYRROLINE-5-CARBOXYLATE SYNTHASE 2 (P5CS2)"				
CG1919	HuCL02382C002	HaT13l032440	AT2G39800	AT2G39800	P5CS1	P5CS1	 delta1-pyrroline-5-carboxylate synthase 1	"encodes a delta1-pyrroline-5-carboxylate synthase that catalyzes the rate-limiting enzyme in the biosynthesis of proline. Gene is expressed in reproductive organs and tissues under non-stress conditions but in the whole plant under water-limiting condition. Expression is also induced by abscisic acid and salt stress in a light-dependent manner. encodes a delta1-pyrroline-5-carboxylate synthase that catalyzes the rate-limiting enzyme in the biosynthesis of proline. Gene is expressed in reproductive organs and tissues under non-stress conditions but in the whole plant under water-limiting condition. Expression is also induced by abscisic acid and salt stress in a light-dependent manner. P5CS1 appears to be involved in salt stress responses related to proline accumulation, including protection from reactive oxidative species. P5CS1 appears to be present in different cells and/or different subcellular locations from P5CS2 in a tissue-dependent manner.       protein_coding  DELTA1-PYRROLINE-5-CARBOXYLATE SYNTHASE 1 (P5CS1)       DELTA1-PYRROLINE-5-CARBOXYLATE SYNTHASE 1 (P5CS1); (ATP5CS)"				
CG1920	HuCL03143C001	HaT13l012190	AT1G14540	AT1G14540	HuCL03143C001	HaT13l012190	 Peroxidase superfamily protein	 Peroxidase superfamily protein				
CG1921	HuCL03624C001	HaT13l023985	AT5G59845	AT5G59845	HuCL03624C001	HaT13l023985	Gibberellin-regulated family protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to gibberellin stimulus; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Gibberellin regulated protein (InterPro:IPR003854); BEST Arabidopsis thaliana protein match is: Gibberellin-regulated family protein (TAIR:AT2G39540.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).	Gibberellin-regulated family protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to gibberellin stimulus; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Gibberellin regulated protein (InterPro:IPR003854); BEST Arabidopsis thaliana protein match is: Gibberellin-regulated family protein (TAIR:AT2G39540.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).				
CG1923	HuCL03741C001	HaT13l016869	AT5G07440	AT5G07440	GDH2	GDH2	Encodes the alpha-subunit of the glutamate dehydrogenase. The enzyme is almost exclusively found in the mitochondria of stem and leaf companion cells.	Encodes the alpha-subunit of the glutamate dehydrogenase. The enzyme is almost exclusively found in the mitochondria of stem and leaf companion cells.  protein_coding  GLUTAMATE DEHYDROGENASE 2 (GDH2)        GLUTAMATE DEHYDROGENASE 2 (GDH2)				
CG1924	HuCL03745C001	HaT13l003267	AT1G55740	AT1G55740	SIP1	SIP1	"seed imbibition 1 (SIP1); CONTAINS InterPro DOMAIN/s: Glycoside hydrolase, catalytic core (InterPro:IPR017853), Raffinose synthase (InterPro:IPR008811); BEST Arabidopsis thaliana protein match is: seed imbibition 2 (TAIR:AT3G57520.1); Has 563 Blast hits to 527 proteins in 159 species: Archae - 29; Bacteria - 119; Metazoa - 0; Fungi - 82; Plants - 322; Viruses - 0; Other Eukaryotes - 11 (source: NCBI BLink)."	"seed imbibition 1 (SIP1); CONTAINS InterPro DOMAIN/s: Glycoside hydrolase, catalytic core (InterPro:IPR017853), Raffinose synthase (InterPro:IPR008811); BEST Arabidopsis thaliana protein match is: seed imbibition 2 (TAIR:AT3G57520.1); Has 563 Blast hits to 527 proteins in 159 species: Archae - 29; Bacteria - 119; Metazoa - 0; Fungi - 82; Plants - 322; Viruses - 0; Other Eukaryotes - 11 (source: NCBI BLink).      protein_coding  SEED IMBIBITION 1 (SIP1)        SEED IMBIBITION 1 (AtSIP1);SEED IMBIBITION 1 (SIP1);RAFFINOSE SYNTHASE 1 (RS1)"				
CG1925	HuCL03862C001	HaT13l000397	AT2G36880	AT2G36880	MAT3	MAT3	"methionine adenosyltransferase 3 (MAT3); FUNCTIONS IN: methionine adenosyltransferase activity; INVOLVED IN: one-carbon metabolic process, S-adenosylmethionine biosynthetic process; LOCATED IN: plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: S-adenosylmethionine synthetase (InterPro:IPR002133), S-adenosylmethionine synthetase superfamily (InterPro:IPR022636), S-adenosylmethionine synthetase, N-terminal (InterPro:IPR022628), S-adenosylmethionine synthetase, C-terminal (InterPro:IPR022630), S-adenosylmethionine synthetase, conserved site (InterPro:IPR022631), S-adenosylmethionine synthetase, central domain (InterPro:IPR022629); BEST Arabidopsis thaliana protein match is: S-adenosylmethionine synthetase family protein (TAIR:AT3G17390.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).      protein_coding  METHIONINE ADENOSYLTRANSFERASE 3 (MAT3) METHIONINE ADENOSYLTRANSFERASE 3 (MAT3)"	"methionine adenosyltransferase 3 (MAT3); FUNCTIONS IN: methionine adenosyltransferase activity; INVOLVED IN: one-carbon metabolic process, S-adenosylmethionine biosynthetic process; LOCATED IN: plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: S-adenosylmethionine synthetase (InterPro:IPR002133), S-adenosylmethionine synthetase superfamily (InterPro:IPR022636), S-adenosylmethionine synthetase, N-terminal (InterPro:IPR022628), S-adenosylmethionine synthetase, C-terminal (InterPro:IPR022630), S-adenosylmethionine synthetase, conserved site (InterPro:IPR022631), S-adenosylmethionine synthetase, central domain (InterPro:IPR022629); BEST Arabidopsis thaliana protein match is: S-adenosylmethionine synthetase family protein (TAIR:AT3G17390.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).      protein_coding  METHIONINE ADENOSYLTRANSFERASE 3 (MAT3) METHIONINE ADENOSYLTRANSFERASE 3 (MAT3)"				
CG1926	HuCL04541C001	HaT13l054771	AT5G51550	AT5G51550	EXL3	EXL3	EXORDIUM like 3 (EXL3); CONTAINS InterPro DOMAIN/s: Phosphate-induced protein 1 (InterPro:IPR006766); BEST Arabidopsis thaliana protein match is: EXORDIUM like 5 (TAIR:AT2G17230.1); Has 398 Blast hits to 397 proteins in 23 species: Archae - 0; Bacteria - 2; Metazoa - 0; Fungi - 0; Plants - 396; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	EXORDIUM like 3 (EXL3); CONTAINS InterPro DOMAIN/s: Phosphate-induced protein 1 (InterPro:IPR006766); BEST Arabidopsis thaliana protein match is: EXORDIUM like 5 (TAIR:AT2G17230.1); Has 398 Blast hits to 397 proteins in 23 species: Archae - 0; Bacteria - 2; Metazoa - 0; Fungi - 0; Plants - 396; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). protein_coding  EXORDIUM LIKE 3 (EXL3)  EXORDIUM LIKE 3 (EXL3)				
CG1927	HuCL04642C001	HaT13l001542	AT5G64550	AT5G64550	HuCL04642C001	HaT13l001542	loricrin-related; BEST Arabidopsis thaliana protein match is: loricrin-related (TAIR:AT5G09670.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	loricrin-related; BEST Arabidopsis thaliana protein match is: loricrin-related (TAIR:AT5G09670.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).				
CG1929	HuCL04787C001	HaT13l006207	AT1G73050	AT1G73050	GMC	GMC	 Glucose-methanol-choline 	 Glucose-methanol-choline 				
CG1930	HuCL06317C001	HaT13l013544	AT4G04955	AT4G04955	ALN	ALN	"Encodes an allantoinase which is involved in allantoin degradation and assimilation. Gene expression was induced when allantoin was added to the medium. The insertion mutant, ataln m2-1, did not grow well on the MS medium where allantoin, instead of ammonium nitrate, was supplied."	"Encodes an allantoinase which is involved in allantoin degradation and assimilation. Gene expression was induced when allantoin was added to the medium. The insertion mutant, ataln m2-1, did not grow well on the MS medium where allantoin, instead of ammonium nitrate, was supplied.       protein_coding  ALLANTOINASE (ALN)      ALLANTOINASE (ATALN);ALLANTOINASE (ALN)"				
CG1931	HuCL07863C001	HaT13l017887	AT1G22430	AT1G22430	HuCL07863C001	HaT13l017887	"GroES-like zinc-binding dehydrogenase family protein; FUNCTIONS IN: oxidoreductase activity, zinc ion binding; INVOLVED IN: oxidation reduction; LOCATED IN: cellular_component unknown; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: GroES-like (InterPro:IPR011032), Alcohol dehydrogenase GroES-like (InterPro:IPR013154), Alcohol dehydrogenase, zinc-containing, conserved site (InterPro:IPR002328), Alcohol dehydrogenase, C-terminal (InterPro:IPR013149), Alcohol dehydrogenase superfamily, zinc-containing (InterPro:IPR002085); BEST Arabidopsis thaliana protein match is: GroES-like zinc-binding dehydrogenase family protein (TAIR:AT4G22110.2); Has 33980 Blast hits to 33961 proteins in 3177 species: Archae - 763; Bacteria - 21520; Metazoa - 1242; Fungi - 2509; Plants - 4182; Viruses - 3; Other Eukaryotes - 3761 (source: NCBI BLink)."	"GroES-like zinc-binding dehydrogenase family protein; FUNCTIONS IN: oxidoreductase activity, zinc ion binding; INVOLVED IN: oxidation reduction; LOCATED IN: cellular_component unknown; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: GroES-like (InterPro:IPR011032), Alcohol dehydrogenase GroES-like (InterPro:IPR013154), Alcohol dehydrogenase, zinc-containing, conserved site (InterPro:IPR002328), Alcohol dehydrogenase, C-terminal (InterPro:IPR013149), Alcohol dehydrogenase superfamily, zinc-containing (InterPro:IPR002085); BEST Arabidopsis thaliana protein match is: GroES-like zinc-binding dehydrogenase family protein (TAIR:AT4G22110.2); Has 33980 Blast hits to 33961 proteins in 3177 species: Archae - 763; Bacteria - 21520; Metazoa - 1242; Fungi - 2509; Plants - 4182; Viruses - 3; Other Eukaryotes - 3761 (source: NCBI BLink)."				
CG1933	HuCL08054C001	HaT13l015387	NA	NA	HuCL08054C001	HaT13l015387	unknown protein	unknown protein				
CG1934	HuCL08070C001	HaT13l004850	AT5G11090	AT5G11090	HuCL08070C001	HaT13l004850	serine-rich protein-related; BEST Arabidopsis thaliana protein match is: serine-rich protein-related (TAIR:AT5G25280.2); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	serine-rich protein-related; BEST Arabidopsis thaliana protein match is: serine-rich protein-related (TAIR:AT5G25280.2); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).				
CG1935	HuCL08682C001	HaT13l001863	AT1G06650	AT1G06650	HuCL08682C001	HaT13l001863	encodes a protein whose sequence is similar to 2-oxoglutarate-dependent dioxygenase	encodes a protein whose sequence is similar to 2-oxoglutarate-dependent dioxygenase				
CG1938	HuCL13363C001	HaT13l009831	AT1G13680	AT1G13680	HuCL13363C001	HaT13l009831	"PLC-like phosphodiesterases superfamily protein; FUNCTIONS IN: phospholipase C activity, phosphoric diester hydrolase activity; INVOLVED IN: intracellular signaling pathway, lipid metabolic process; LOCATED IN: endomembrane system; EXPRESSED IN: embryo, flower, seed; EXPRESSED DURING: F mature embryo stage, petal differentiation and expansion stage, E expanded cotyledon stage, D bilateral stage; CONTAINS InterPro DOMAIN/s: Phospholipase C, phosphatidylinositol-specific , X domain (InterPro:IPR000909), PLC-like phosphodiesterase, TIM beta/alpha-barrel domain (InterPro:IPR017946); BEST Arabidopsis thaliana protein match is: PLC-like phosphodiesterases superfamily protein (TAIR:AT1G49740.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."	"PLC-like phosphodiesterases superfamily protein; FUNCTIONS IN: phospholipase C activity, phosphoric diester hydrolase activity; INVOLVED IN: intracellular signaling pathway, lipid metabolic process; LOCATED IN: endomembrane system; EXPRESSED IN: embryo, flower, seed; EXPRESSED DURING: F mature embryo stage, petal differentiation and expansion stage, E expanded cotyledon stage, D bilateral stage; CONTAINS InterPro DOMAIN/s: Phospholipase C, phosphatidylinositol-specific , X domain (InterPro:IPR000909), PLC-like phosphodiesterase, TIM beta/alpha-barrel domain (InterPro:IPR017946); BEST Arabidopsis thaliana protein match is: PLC-like phosphodiesterases superfamily protein (TAIR:AT1G49740.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."				
CG1939	HuCL13598C001	HaT13l030135	AT2G28630	AT2G28630	KCS12	KCS12	"Encodes KCS12, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids).      protein_coding  3-KETOACYL-COA SYNTHASE 12 (KCS12)      3-KETOACYL-COA SYNTHASE 12 (KCS12)"	"Encodes KCS12, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids).      protein_coding  3-KETOACYL-COA SYNTHASE 12 (KCS12)      3-KETOACYL-COA SYNTHASE 12 (KCS12)"				
CG1942	HuCL14457C001	HaT13l016233	AT3G51630	AT3G51630	WNK5	WNK5	 with no lysine  kinase 5 	"Encodes a member of the WNK family (9 members in all) of protein kinases, the structural design of which is clearly distinct from those of other known protein kinases, such as receptor-like kinases and mitogen-activated protein kinases.    protein_coding  WITH NO LYSINE (K) KINASE 5 (WNK5)      WITH NO LYSINE (K) KINASE 5 (WNK5); (ZIK1); (ATWNK5)"				
CG1943	HuCL14537C001	HaT13l010614	AT1G70250	AT1G70250	HuCL14537C001	HaT13l010614	Encodes a Protease inhibitor/seed storage/LTP family protein	Encodes a Protease inhibitor/seed storage/LTP family protein				
